PAIS,ESTADO,CIDADE,CODIGO IBGE CIDADE,CODIGO IBGE ESTADO,REGIAO,POP 2010 IBGE,DATA CRIAÇÃO,INSTITUIÇÃO,SIGLA,MODELO,COORDENADOR,CURSO/ÁREA,MODELO/NUMERO,NOME,CONTATO,E-MAIL,FACEBOOK ,INSTAGRAM,SITE,YOUTUBE,DISCIPLINA CORRELATIVA,DISCIPLINA CURRICULAR,NATUREZA,Gênese e Propriedade do Solo,Gênese e Morfologia do Solo,Gênese e Classificação do Solo,Gênese do Solo,Classificação Solo,Propriedades do Solo,Pedologia,Nutrição Mineral de Plantas,Fertilidade do Solo,Levantamento de Solo,Mecânica do Solo,Geologia,Manejo e Conservação do Solo e da Água,Física do Solo,Classificação do Solo,Manejo e Conservação do Solo ,"Uso, Manejo e Conservação do Solo",Fundamentos de Física dos Solos,Mineralogia,Química do Solo,Física do Solo,Solos do Semiárido,Elementos do Solo,Matéria Ôrganica do Solo,Atributos e Classificação do Solo,Introdução à Ciência do Solo,Ciência do Solo,Edafologia,Morfologia e Classificação do Solo,Conservação do Solo,Natureza e Propriedades do Solo,Pedologia Prática,"Contituição, Propriedades do Solo","Levantantamento, aptidão, manejo e conservação do solo",Edafologia Aplicada,Pedologia Aplicada,Manejo Ecológico do Solo,Caracteristica e Propriedade do Solo,Sistema Planta-Solo-Atmosfera,Geologia Aplicada a Solos,  Tecnologia do Solo,"Manejo, conservação e recuperação áreas degradadas",Solo 1,Solo 2,Fundamentos de Pedologia,Introdução à Ciência do Solo,Solos,Ciência do Solo I,Ciência do Solo II,Fundamentos de Ciência do Solo,Biologia do Solo,Classificação e Levantamento de Solo,Propriedades Físicas e Quimicas do Solo," Gênese, Morfologia e Classificação Solo",Manejo do Solo,Propriedades Físicas dos Solos,Facebook_N,INSTAGRAM_N,YOUTUBE_N,SITE_N
Brasil,AM,Humaitá,1301704,13,Norte,"44227,00",5/12/2019,Universidade Federal do Amazonas ,UFAM,Federal,Milton Cesar Costa Campos,Museu,Federal,Programa Permanente de Visitação do Museu de Solos do Amazonas,sim,sim,não,não,não,não,não,não,não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,PA,Belém,1501402,15,Norte,"1393399,00",2/1/2011,Universidade Federal Rural da Amazônia,UFRA,Federal,Vânia Silva de Melo,Agronomia,Federal,"Programa Solo na Escola: Divulgar, Educar e Ensinar para Preservar e Conservar",sim,sim,sim,não,não,não,sim,Gênese e Propriedade do solo / Morfologia e Classificação do Solo / Nutrição mineral de plantas / Fertilidade do solo,obrigatória,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brasil,PA,Belém,1501402,15,Norte,"1393399,00",1/14/2013,Universidade Federal Rural da Amazônia,UFRA,Federal,Mário Lopes da Silva Júnior,Agronomia,Federal,Programa de Educação Tutorial PET-Solos,sim,sim,sim,sim,sim,sim,sim,Gênese e Propriedade do solo / Morfologia e Classificação do Solo / Nutrição mineral de plantas / Fertilidade do solo,obrigatória,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Brasil,PA,Santarém,1506807,15,Norte,"294580,00",3/1/2016,Universidade Federal do Oeste do Pará,UFOPA,Federal,Iolanda Maria Soares Reis,Agronomia,Federal,Projeto Solo na Escola / UFOPA,sim,sim,não,sim,não,não,sim,Gênese e Morfologia do Solo / Nutição Mineral de Plantas / Fertilidade do solo / Levantamento de Solos /,obrigatória,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,PA,Marabá,1504208,15,Norte,"233669,00",3/1/2019,Universidade Federal do Sul e Sudeste do Pará,UNIFESSPA,Federal,Rafaela Nazareth Pinheiro de Oliveira Silveira,Engenharia Civíl,Federal,Projeto Ver-o-Solo,sim,sim,não,sim,não,não,sim,Mecânica dos Solos ,obrigatória,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,PA,Xinguara,1508407,15,Norte,"40573,00",11/1/2018,Universidade Federal do Sul e Sudeste do Pará,UNIFESSPA,Federal,Eloise Mello Viana de Moraes,Zootecnia,Federal,Solos para Todos - UNIFESSPA,sim,sim,não,não,sim,não,sim,Geologia / Pedologia / Fertilidade do Solo / Nutrição de Plantas / Manejo e conservação do solo e da água / ,obrigatória,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brasil,RO,Colorado do Oeste,1100064,11,Norte,"18591,00",5/1/2018,Instituto Federal de Rondônia,IFRO,Instituto Federal,José Vagner Silva,Engenharia Agrônomica ,Instituto Federal,Projeto Solo na Escola / IFRO,sim,sim,não,não,não,não,sim,Pedologia / Física do Solo /  Classificação dos solos / ,obrigatória,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,RR,Amajari,1400027,14,Norte,"9327,00",3/1/2017,Instituto Federal de Educação Ciência e Tecnologia de Roraima ,IFRR,Instituto Federal,Luciana da Silva Barros,Técnico em Agricultura,Instituto Federal,Projeto Solo na Escola / IFRR-CAM,sim,sim,não,não,não,não,sim,Manejo do Solo e da Água / ,obrigatória,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,RR,Rorainópolis,1400472,14,Norte,"24279,00",5/10/2018,Universidade Federal de Roraima,UFRR,Federal,João José Costa Silva,Agronomia,Federal,Projeto Solos na Escola / UERR,sim,sim,não,não,não,não,sim,Pedologia / Gênese e Propriedade do Solo / ,obrigatória,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,TO,Palmas,1721000,17,Norte,"228332,00",5/2/2016,Universidade Estadual do Tocantins,UNITINS,Estadual,Michele Ribeiro Ramos,Engenharia Agrônomica ,Estadual,Projeto Solo na Escola / UNITINS - Exposição Didática,sim,sim,não,não,não,não,sim,Gênise e Morfologia do Solo /  Classificação dos Solo / Física do solo / Fertilidade do solo / ,obrigatória,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
